op_unique_carrier,op_carrier_fl_num,origin,origin_city_name,origin_state_nm,dest,dest_city_name,dest_state_nm,dep_delay,taxi_out,taxi_in,arr_delay,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,fl_year,fl_month,fl_day,fl_dayofweek,is_weekend,season,crs_dep_hour,crs_dep_min,dep_hour,dep_min,wheels_off_hour,wheels_off_min,wheels_on_hour,wheels_on_min,crs_arr_hour,crs_arr_min,arr_hour,arr_min
8,3535.0,73,62,42,220,212,40,-0.29810135788706765,0.32001338058721673,-0.6241875981275594,-0.3136781634006851,0,0,0.05124696252384257,0.03235775184927154,0.051465172532192544,-0.003958232265193795,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,4,18,3,0,1,10,18,10,15,10,36,11,35,11,49,11,39
1,148.0,55,46,31,205,199,2,-0.3167469908283331,-0.3969270917778741,-0.3413732044523784,-0.4393525933810856,0,0,1.9032737946456697,1.8081856793390136,1.94969390408129,1.5663243490103333,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,1,1,0,0,3,16,37,16,33,16,47,19,0,19,23,19,6
0,5440.0,48,48,41,15,14,8,-0.39132952259339476,-0.49934715925860135,-0.0585588107771974,-0.4393525933810856,0,0,-1.2108750267739952,-1.261656396864184,-1.2234645725380966,-1.2243590870091803,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,12,12,3,0,0,10,0,9,52,10,5,10,34,10,59,10,42
13,1971.0,191,182,25,143,143,26,-0.16758192729820967,-1.0114474966622378,-0.3413732044523784,-0.11618977343148425,0,0,0.449089763498161,0.48663931469548466,0.6747641590110006,0.43799763282727866,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,4,8,0,0,1,13,30,13,34,13,42,14,25,14,30,14,31
13,862.0,43,20,18,189,179,39,-0.37268388965212934,-0.19208695681641957,-0.6241875981275594,-0.1520967534258844,0,0,-0.7855947912497238,-0.628415430472493,-0.557667927890279,-0.7338550397663983,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,2,16,4,0,3,13,40,13,33,13,49,15,5,15,10,15,9
13,2358.0,232,222,4,205,199,2,-0.37268388965212934,-0.49934715925860135,-0.6241875981275594,-0.3854921233894854,0,0,-0.9913755503743713,-1.0138664534935222,-0.9118150792986927,-0.892892188189826,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,4,15,0,0,1,7,15,7,8,7,21,8,12,8,30,8,16
6,163.0,175,155,7,0,7,36,-0.4099751555346602,-0.6017672267393286,-0.48278040128996896,-0.20595722341748463,0,0,0.02380952797388957,0.17001883149963914,0.30645112154625037,0.12829371221323546,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,11,27,2,0,0,9,33,9,24,9,36,11,53,12,2,11,58
2,1269.0,34,174,41,202,205,35,-0.3353926237695985,0.32001338058721673,-0.7655947949651499,-0.6188874933530863,0,0,2.095335836495341,1.8770162191641975,1.9638597901376267,1.9011393983228124,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,8,31,5,1,2,18,55,18,50,19,11,21,25,21,55,21,28
11,3438.0,146,147,4,248,229,4,-0.3540382567108639,1.1393739204330349,-0.48278040128996896,-0.17005024342308447,0,0,-0.9365006812744653,-0.8073748340179708,-0.9401468514113658,-0.8861958872035763,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,4,19,4,0,1,8,20,8,14,8,43,9,32,9,39,9,37
11,5654.0,243,223,4,25,18,4,-0.39132952259339476,-0.0896668893356923,-0.7655947949651499,-0.5470735333642861,0,0,-0.9913755503743713,-1.1239953172138164,-1.0676398259183946,-1.003381154462944,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,-0.20843730158677687,2024,2,8,3,0,3,22,35,22,27,22,44,23,24,23,50,23,27
6,1510.0,77,66,13,17,17,42,0.6341802891762037,-0.6017672267393286,-0.19996600761478792,0.5121823764705185,0,0,-0.2917209693505699,-0.3668593791367945,-0.27435020676354804,-0.0407878876895665,-0.14611797876824387,-0.06894253228977358,-0.19327922029058656,-0.023245306255910498,0.9997177310155311,2024,9,19,3,0,2,15,1,15,48,16,0,17,36,17,7,17,43
1,2050.0,173,158,7,154,183,30,0.42907832682228403,3.085355202566853,-0.48278040128996896,0.7276242564369193,0,0,0.42165232894820803,0.6655987182409625,0.30645112154625037,0.4329754070875915,0.4172999577609463,-0.06894253228977358,0.5637433197083932,-0.023245306255910498,0.3620803526976463,2024,3,28,3,0,3,20,39,21,15,22,3,0,20,23,37,0,25
